Ordre de travail;Staut Ordre de travail;Equipment;Noeud Parent;Classification Equipement;Date début;Type OT
OT021691;clôturé;PFM10200;PFM102;MECANIQUE;2019-02-01;correctif non planifié
OT021693;clôturé;PFC101;PFC1;MECANIQUE;2019-02-01;correctif planifié
OT021696;en cours INV;ULUTEG0111;ULUTEG01;MECANIQUE;2019-01-30;correctif non planifié
OT021699;clôturé;PFS102;PFS1;MECANIQUE;2019-01-15;correctif planifié
OT021705;clôturé;PFC104;PFC1;MECANIQUE;2019-01-21;correctif planifié
OT021706;clôturé;PFC107;PFC1;MECANIQUE;2019-01-21;correctif planifié
OT021707;clôturé;PFC107;PFC1;MECANIQUE;2019-01-21;correctif planifié
OT021708;clôturé;PFC104;PFC1;MECANIQUE;2019-01-21;correctif planifié
OT021709;clôturé;PFC104;PFC1;MECANIQUE;2019-01-21;correctif non planifié
OT021722;clôturé;PFC103;PFC1;MECANIQUE;2019-01-19;correctif planifié
OT021778;clôturé;PFC107;PFC1;MECANIQUE;2019-01-23;correctif planifié
OT021779;clôturé;PFS101;PFS1;MECANIQUE;2019-01-25;correctif non planifié
OT021780;clôturé;PFC104;PFC1;MECANIQUE;2019-01-27;correctif non planifié
OT021781;clôturé;PAV00101;pav001;MECANIQUE;2019-02-04;correctif planifié
OT021783;clôturé;PFC103;PFC1;MECANIQUE;2019-01-25;correctif non planifié
OT022279;clôturé;PFC107;PFC1;MECANIQUE;2019-02-03;correctif planifié
OT022281;clôturé;PFC111;PFC1;MECANIQUE;2019-02-03;correctif planifié
OT022282;clôturé;PAV004016;PAV004;MECANIQUE;2019-02-04;correctif planifié
OT027574;clôturé;PFC103;PFC1;MECANIQUE;2019-02-04;correctif non planifié
OT027907;clôturé;PFC101;PFC1;MECANIQUE;2019-02-05;correctif planifié
OT028225;clôturé;PFC104;PFC1;MECANIQUE;2019-02-05;correctif planifié
OT028668;clôturé;PAV004016;PAV004;MECANIQUE;2019-02-04;correctif planifié
OT043985;en cours INV;ULUTTE010501;ULUTTE0105;MECANIQUE;2019-02-04;correctif planifié
